scorer,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000,DeepCut_resnet50_licking-belowOct05shuffle1_1030000
bodyparts,jaw,jaw,jaw,toe-bot,toe-bot,toe-bot,toe-top,toe-top,toe-top,tongue,tongue,tongue
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
53,617.806713104248,279.89029693603516,1.0,226.705606341362,451.3225259780884,1.0,215.73477149009705,143.87228727340698,1.0,640.1158995628357,264.4220600128174,0.9999810457229614
54,616.7395205497742,279.79873514175415,1.0,226.6714826822281,451.3720316886902,1.0,215.57611560821533,143.44694900512695,1.0,634.3125940561295,263.8341188430786,0.9992386102676392
55,616.1449928283691,281.83710384368896,1.0,226.68991446495056,451.18170261383057,1.0,215.66773462295532,143.3166995048523,1.0,626.983238697052,263.9455599784851,0.011421962641179562
56,618.9743323326111,280.8082709312439,1.0,226.66327345371246,451.34093284606934,1.0,215.74690556526184,143.44047164916992,1.0,627.4343366622925,265.5913689136505,0.00035089743323624134
57,620.0974954664707,283.41531801223755,1.0,226.70773828029633,451.33599758148193,1.0,215.75059485435486,143.37955737113953,1.0,636.1772988438606,280.9470865726471,0.00016704526206012815
58,621.5120676755905,283.9136145040393,1.0,226.71215975284576,451.4175853729248,1.0,215.68310165405273,143.37453770637512,1.0,636.2839242517948,281.7572317123413,0.000550807686522603
59,621.0797870159149,283.36775064468384,1.0,226.6907056570053,451.3404211997986,1.0,215.65572476387024,143.3784327507019,1.0,636.5091900229454,282.3321576118469,0.0009064574260264635
60,621.5385117530823,283.8888998031616,1.0,226.22665107250214,451.3068108558655,1.0,215.6806457042694,143.44863986968994,1.0,636.3894842863083,282.1814730167389,0.0009582694037817419
61,621.1963016986847,283.99848890304565,1.0,226.93621146678925,451.3876438140869,1.0,215.72633337974548,143.32185292243958,1.0,636.2503673136234,282.33692502975464,0.0007443970534950495
62,621.1479353904724,283.78740417957306,1.0,226.94985914230347,451.3531403541565,1.0,215.68337845802307,143.29113936424255,1.0,636.4186797142029,282.12473130226135,0.0007500426727347076
63,621.3365068435669,283.7439897954464,1.0,226.96325588226318,451.3646674156189,1.0,215.6078040599823,143.2793049812317,1.0,636.4465683996677,282.19267320632935,0.0008753780857659876
64,621.2151511907578,283.94410771876574,1.0,226.96812844276428,451.3564591407776,1.0,215.5327923297882,143.29213094711304,1.0,636.398954063654,282.1342089176178,0.0007508712005801499
65,620.8700076341629,284.19949212670326,1.0,226.97041726112366,451.39692544937134,1.0,215.47052526474,143.3568308353424,1.0,636.2492109835148,282.53374338150024,0.0006365520530380309
66,621.2428131103516,284.24830792844296,1.0,226.99077546596527,451.2709307670593,1.0,215.43781352043152,143.333487033844,1.0,636.4854230582714,282.03153944015503,0.0007823712076060474
67,621.4698619842529,284.11668233573437,1.0,226.98628306388855,451.21434593200684,1.0,215.4209954738617,143.35384368896484,1.0,636.707732796669,281.7966659069061,0.0011372388107702136
68,621.6111078262329,283.9359034895897,1.0,227.00037342309952,451.24088859558105,1.0,215.45501971244812,143.35280108451843,1.0,636.7413034439087,281.8199806213379,0.0011299342149868608
69,622.2408037185669,284.4426891505718,1.0,226.97607171535492,451.37773275375366,1.0,215.45568799972534,143.36879658699036,1.0,636.9407037496567,281.91207337379456,0.0013481528731063008
70,622.9716739654541,284.5696516633034,1.0,227.34146934747696,451.93170833587646,1.0,215.45786786079407,143.36619901657104,1.0,637.1626269817352,282.0986862182617,0.0015004270244389772
71,624.2361800670624,285.02788281440735,1.0,227.35006666183472,451.80951595306396,1.0,215.4507098197937,143.364821434021,1.0,637.5298697948456,282.57960617542267,0.0011152023216709495
72,624.110532283783,284.0985984802246,1.0,227.36796402931213,451.72792291641235,1.0,215.4462330341339,143.3665132522583,1.0,636.7821847200394,281.84623980522156,0.001955887535586953
73,624.6269454956055,284.3194055557251,1.0,227.30724620819092,451.5617346763611,1.0,215.51911163330078,143.0620698928833,1.0,636.2850925624371,281.81187438964844,0.006398295518010855
74,623.8115410804749,284.06972558796406,1.0,227.37537586688995,451.80876779556274,1.0,215.5336034297943,143.04053115844727,1.0,636.4499316811562,281.6650495529175,0.002063907915726304
75,622.5544376373291,285.2788989543915,1.0,227.34094178676605,451.93742752075195,1.0,215.56376671791077,142.99592208862305,1.0,636.040831733495,281.6905131340027,0.0020121021661907434
76,622.4027132987976,284.8907200694084,1.0,227.3266013264656,451.8437738418579,1.0,215.22131824493408,143.06933403015137,1.0,636.0559788532555,281.32927918434143,0.0018698186613619328
77,619.7455495297909,283.89059019088745,1.0,227.33443278074265,451.8328022956848,1.0,215.5940444469452,142.99437046051025,1.0,636.5232517719269,281.044930934906,0.00044098778744228184
78,618.7498046159744,283.2614736557007,1.0,227.29949921369553,451.79167127609253,1.0,215.63170075416565,142.99075984954834,1.0,629.061149597168,269.8037120103836,0.00010830796236405149
79,618.9695053100586,283.0819230079651,1.0,227.22039514780045,451.61528491973877,1.0,215.65951204299927,142.95351886749268,1.0,629.1409101486206,269.4071612358093,0.00012463066377677023
80,618.9670337438583,282.8685555458069,1.0,227.4417369365692,451.7966265678406,1.0,215.680006980896,143.0050344467163,1.0,629.1219701766968,269.3035795688629,0.0001320432493230328
81,616.2021012306213,281.84072399139404,1.0,227.1702629327774,451.5870237350464,1.0,215.9810061454773,142.9625597000122,1.0,627.6426692008972,268.1429533660412,0.00017839440261013806
82,615.7053155899048,281.3614230155945,1.0,227.31738567352295,451.6658182144165,1.0,215.9811851978302,142.83504581451416,1.0,627.0176401138306,268.16587349772453,0.0001313202374149114
83,613.445604801178,281.80865144729614,1.0,227.042999625206,451.6482458114624,1.0,216.2103123664856,142.8297758102417,1.0,624.9170160293579,281.64882373809814,0.00016540780779905617
84,613.5113762617111,281.9640564918518,1.0,226.87200260162354,451.5687737464905,1.0,216.12813997268677,143.06680393218994,1.0,624.9651370048523,281.6747965812683,0.00015358610835392028
85,613.5176018476486,281.94072675704956,1.0,227.00532150268555,451.6536841392517,1.0,215.9364697933197,143.2763328552246,1.0,624.8888320922852,281.5209698677063,0.00017370935529470444
86,613.4704110622406,282.00600719451904,1.0,227.09634679555893,451.5844030380249,1.0,215.97166919708252,143.2851505279541,1.0,624.8567910194397,281.6687707901001,0.00016624615818727762
87,613.3921308517456,282.14322090148926,1.0,227.27476966381073,451.44890117645264,1.0,215.98090529441833,143.29858875274658,1.0,624.822009563446,281.58711981773376,0.00017848577408585697
88,613.4646646976471,281.91377353668213,1.0,227.41840958595276,451.5689067840576,1.0,215.98720693588257,143.27947807312012,1.0,624.9421019554138,281.64075446128845,0.00018052836821880192
